ticker,name,sector,industry
459510,459510,KOSDAQ,
460930,460930,KOSDAQ,
466100,466100,KOSDAQ,
474170,474170,KOSDAQ,
476040,476040,KOSDAQ,
486990,486990,KOSDAQ,
488280,488280,KOSDAQ,
490470,490470,KOSDAQ,
493280,493280,KOSDAQ,
950140,950140,KOSDAQ,
950170,950170,KOSDAQ,
